video_id,title,view_count,like_count,comment_count,timestamp
42WiKmLox5c,강다니엘(KANGDANIEL) - Backseat Promises Track Video,1915089,0,643,2025-12-13 18:28:38
80uru6rQWgc,대성(DAESUNG) '한도초과(HANDO-CHOGUA)' M/V,1913111,62091,4715,2025-12-13 18:28:38
eaGZALpqExU,"BRAWL TALK: Buffies, Chaos Drops and Brawl Pass Rework!",1712490,137030,14621,2025-12-13 18:28:38
ss7z2upAvX8,임영웅 '알겠어요 미안해요' Official M/V,1042862,44061,4742,2025-12-13 18:28:38
TETa0j79byM,LOOK AT ME ,774837,4515,146,2025-12-13 18:28:38
7N9dhR_0REc,ALLDAY PROJECT - ‘LOOK AT ME’ PERFORMANCE VIDEO,722347,0,1315,2025-12-13 18:28:38
ndkjasne_iw,DK vs T1 하이라이트 | Losers Finals | 2025 LoL KeSPA CUP,668040,9452,3338,2025-12-13 18:28:38
wpokz1JhGl0,ILLIT (아일릿) ‘oops!’ @ Spotify Performance Video,484004,44159,1220,2025-12-13 18:28:38
tx7fWqIu8tE,와.. 간만에 제대로 뽑혔다..  DC ≪슈퍼걸≫ 공식 예고편 떡밥 총정리,462407,4332,1072,2025-12-13 18:28:38
tVAg19hcB1U,[슈퍼걸]1차 예고편,435320,2571,890,2025-12-13 18:28:38
27AVep6EdM8,감스트 맨유 감독되다 [3화] 중대한 결정,346742,5693,653,2025-12-13 18:28:38
Hlt6XkvfeiY,철거 라이즈,323954,2017,267,2025-12-13 18:28:38
7hTbNeHqGD8,EXO 엑소 'I'm Home' MV,313840,103495,16726,2025-12-13 18:28:38
CSUE7lufvE4,365 Days,305490,5101,170,2025-12-13 18:28:38
YmAiWACg0Ag,밤을 버텨야 한다,303121,7574,358,2025-12-13 18:28:38
6gH7eYz4-CQ,하면 안 되는 챔피언,295643,1883,326,2025-12-13 18:28:38
fX9r3zWpIZQ,라인전을 깨달은사람,284019,2897,648,2025-12-13 18:28:38
clBjXw78AqU,"전날 과음하면 나와버리는 춘봉박... ""30대에 매 맞는 사람"" 【SLL EP. 13】",274451,1651,201,2025-12-13 18:28:38
_B10S8_bW1U,"스크림 승률 9% 특단의 조치 미드,정글 교체",260726,1507,289,2025-12-13 18:28:38
-fqUyxwBDAE,"하드코어에서 ""지옥""에 ""천국"" 만들기",243499,4523,821,2025-12-13 18:28:38
mu0GaFvBFDM,끝나지 않는 제 4회 후열의 밤,243461,6528,907,2025-12-13 18:28:38
J6skhVZLApU,증바람 최고점 봤습니다.. 3렙 공격력 500 천꾸 제이스,234485,1560,318,2025-12-13 18:28:38
