video_id,title,view_count,like_count,comment_count,timestamp
80uru6rQWgc,대성(DAESUNG) '한도초과(HANDO-CHOGUA)' M/V,2067170,64074,4836,2025-12-14 05:49:31
ndkjasne_iw,DK vs T1 하이라이트 | Losers Finals | 2025 LoL KeSPA CUP,1404433,14573,5037,2025-12-14 05:49:31
ss7z2upAvX8,임영웅 '알겠어요 미안해요' Official M/V,1111201,44238,4774,2025-12-14 05:49:31
7hTbNeHqGD8,EXO 엑소 'I'm Home' MV,868212,182435,25692,2025-12-14 05:49:31
TETa0j79byM,LOOK AT ME ,802682,4679,147,2025-12-14 05:49:31
7N9dhR_0REc,ALLDAY PROJECT - ‘LOOK AT ME’ PERFORMANCE VIDEO,757797,0,1357,2025-12-14 05:49:31
wpokz1JhGl0,ILLIT (아일릿) ‘oops!’ @ Spotify Performance Video,542143,47633,1286,2025-12-14 05:49:31
tVAg19hcB1U,[슈퍼걸]1차 예고편,522126,2589,901,2025-12-14 05:49:31
tx7fWqIu8tE,와.. 간만에 제대로 뽑혔다..  DC ≪슈퍼걸≫ 공식 예고편 떡밥 총정리,472492,4390,1082,2025-12-14 05:49:31
fX9r3zWpIZQ,라인전을 깨달은사람,395827,3488,862,2025-12-14 05:49:31
27AVep6EdM8,감스트 맨유 감독되다 [3화] 중대한 결정,367196,5806,668,2025-12-14 05:49:31
Hlt6XkvfeiY,철거 라이즈,340349,2060,273,2025-12-14 05:49:31
CSUE7lufvE4,365 Days,336137,5361,171,2025-12-14 05:49:31
YmAiWACg0Ag,밤을 버텨야 한다,314063,7688,358,2025-12-14 05:49:31
clBjXw78AqU,"전날 과음하면 나와버리는 춘봉박... ""30대에 매 맞는 사람"" 【SLL EP. 13】",311214,1772,207,2025-12-14 05:49:31
_B10S8_bW1U,"스크림 승률 9% 특단의 조치 미드,정글 교체",275995,1577,297,2025-12-14 05:49:31
mu0GaFvBFDM,끝나지 않는 제 4회 후열의 밤,259989,6692,935,2025-12-14 05:49:31
-fqUyxwBDAE,"하드코어에서 ""지옥""에 ""천국"" 만들기",259328,4702,853,2025-12-14 05:49:31
DtguKz5TiiU,[성시경 노래] 64. 白い恋人達 (하얀 연인들) l Sung Si Kyung Music,247867,15086,2396,2025-12-14 05:49:31
bFhknZMyDnE,"대신 맞아주면 무조건 죽는 ""우정파괴"" 케이틀린",238052,1557,240,2025-12-14 05:49:31
UwmwAECBkwg,『외톨이야 (I'm a loner)』ジョン・ヨンファ(CNBLUE) × 優里 ｜ 정용화 × 유우리,231509,16292,1274,2025-12-14 05:49:31
P8wyn7eAR-E,생각이 멈추지 않는 애쉬,219336,1586,201,2025-12-14 05:49:31
s55tZxpc-J8,650만원 현질해서 장비작 오지게 했습니다 메이플 키우기 3화,216460,3545,636,2025-12-14 05:49:31
Jn4HB9HhVOc,늦은 말 Promise,202223,3339,0,2025-12-14 05:49:31
VojkT0lvSug,[왕과 사는 남자] 런칭 예고편,185274,1284,204,2025-12-14 05:49:31
3oCxn212Bu4,"[신비아파트 10주년 극장판: 한 번 더, 소환] 공식 1차 예고편",176517,7217,1123,2025-12-14 05:49:31
WisAHyIrjvk,BIG VOID,170457,4739,167,2025-12-14 05:49:31
H2V9GUYBlMU,무려 3-2에 해금해버린 초패스트 아우솔의 천상 강림 풀스택,162418,1014,95,2025-12-14 05:49:31
8BD-JIzQFf8,"굿바이, 조진웅 박나래 조세호",162418,2369,443,2025-12-14 05:49:31
1rpQod6D3h4,디아블로IV | 증오의 군주 | 공식 출시일 시네마틱,160186,2857,1275,2025-12-14 05:49:31
pn5D3lIg4jA,5코 3성 당하기;;,156847,1318,40,2025-12-14 05:49:31
cErtq29LAVM,"활 ""한방 콤보""가 돌아왔다고??!! 라이벌 시즌2 업데이트 총정리!!!",144116,1512,375,2025-12-14 05:49:31
J20HVwDSQnQ,*탈출불가* 심해 잠수함에서 버티는 생존 공포 게임,139005,6662,452,2025-12-14 05:49:31
